aerosol_total_aod,albedo_o2_fph,albedo_slope_o2,albedo_slope_strong_co2,albedo_slope_weak_co2,albedo_strong_co2_fph,albedo_weak_co2_fph,StartOrbitNumber,albedo_o2_abp_0,albedo_o2_abp_1,co2_ratio_idp,dispersion_multiplier_abp,fluorescence_offset_relative_757nm_idp,fluorescence_offset_relative_771nm_idp,h2o_ratio_idp,o2_ratio_idp,reduced_chi_squared_o2_abp,snr_o2_abp,surface_pressure_delta_abp,surface_pressure_offset_abp,temperature_offset_abp,retrieval_altitude,retrieval_aspect,retrieval_azimuth,retrieval_latitude,retrieval_longitude,retrieval_overlap,retrieval_overlap_o2_weak_co2,retrieval_overlap_strong_co2_o2,retrieval_overlap_weak_co2_strong_co2,retrieval_polarization_angle,retrieval_slope,retrieval_solar_azimuth,retrieval_solar_relative_velocity,retrieval_solar_zenith,retrieval_surface_roughness
0.38694,0.292972,-3.17E-05,-2.68E-05,-0.000106097,0.1607,0.243986,991,0.277992,0.280235,1.03918,0.99999361,0.00537109,0.0204468,1.12817,1.09857,43.4172,636.052,97.4455,-500,1.91341,150.42,161.923,36.5354,31.0349,70.7265,97.6936,83.5158,83.8484,86.0246,0.0608367,0.0683526,216.395,-326.377,30.192,1.49458
0.355174,0.282915,-3.01E-05,-4.11E-05,-0.000110309,0.138804,0.224503,991,0.269428,0.274369,1.04449,0.999993636,0.00634766,0.0148315,1.13702,1.08441,39.1992,616.153,30.8264,-500,1.84891,162.208,176.799,37.5735,31.1143,70.6658,94.807,81.3474,83.8718,87.836,1.11459,0.108643,216.217,-326.851,30.2272,2.06841
0.375976,0.283195,-3.24E-05,-4.80E-05,-9.91E-05,0.109123,0.202384,991,0.270941,0.277226,1.04498,0.99999394,0.0112305,0.0166016,1.17755,1.08105,40.5439,627.848,93.9474,-500,1.77347,168.464,101.102,36.1576,31.3112,70.6414,97.635,83.4839,83.83,86.0423,0.0721008,0.184362,216.006,-327.143,30.3826,2.9099
0.194589,0.306724,-1.63E-05,0.000110759,-9.40E-05,0.371177,0.393549,991,0.299038,0.296557,1.02228,0.999994005,0.0012207,0.00964355,1.04254,1.06091,42.5833,670.296,278.958,-500,1.20795,181.051,90.1981,36.6325,31.378,70.6022,97.7354,86.1146,86.9565,88.9085,0.594954,0.352715,215.879,-327.458,30.419,3.19677
0.252957,0.292404,-2.28E-05,-5.70E-05,-4.35E-05,0.352816,0.375348,991,0.28158,0.280473,1.02435,0.99999355,0.0141602,0.0123901,1.06354,1.05981,49.4785,651.046,114.652,-500,1.26414,186.214,115.815,36.6062,31.3964,70.5965,97.7218,85.7835,86.6375,88.6361,0.594374,0.286813,215.854,-327.508,30.4317,4.07717
0.188998,0.298302,-1.63E-05,-2.90E-05,-2.01E-05,0.318834,0.350514,991,0.290455,0.287982,1.02722,0.999993745,0.00531006,0.0123291,1.04425,1.04626,37.4579,657.513,175.509,-500,1.41039,187.556,105.084,36.7781,31.4761,70.5629,93.2764,81.2085,84.0681,88.4234,0.853682,0.225295,215.727,-327.792,30.4823,3.12474
0.20926,0.299778,-1.99E-05,-7.32E-07,-5.53E-05,0.359565,0.385605,991,0.291013,0.290044,1.02136,0.999993621,0.00799561,0.00830078,1.03772,1.04584,33.3953,661.159,265.141,-500,1.41665,182.145,21.8626,36.2244,31.4643,70.5852,97.6067,86.1228,86.3596,88.6507,0.330426,0.150143,215.776,-327.63,30.4839,2.62681
0.19939,0.296082,-1.66E-05,-2.78E-05,-5.21E-05,0.320398,0.354201,991,0.287727,0.286281,1.02441,0.999993625,-0.000854492,0.0133667,1.04608,1.03955,32.9105,657.533,229.99,-500,1.34771,183.315,134.723,36.1983,31.4827,70.5796,97.6562,86.0385,86.3579,88.6375,0.330005,0.132003,215.751,-327.681,30.4968,2.92099
0.190064,0.300566,-1.67E-05,-6.53E-05,-5.98E-05,0.255131,0.302956,991,0.29122,0.292721,1.02899,0.99999368,0.00164795,0.0152588,1.05084,1.05048,33.2894,639.394,60.4229,-500,1.24509,197.27,98.7235,36.9999,31.519,70.5407,94.7011,81.6508,84.1226,88.2445,1.12717,0.209868,215.651,-327.974,30.5075,2.47587
0.205658,0.283507,-1.51E-05,-5.21E-05,-4.60E-05,0.256957,0.307454,991,0.276451,0.273557,1.02338,0.999993945,0.00378418,0.0109253,1.05426,1.03851,40.1424,644.371,20.0537,-500,1.37696,193.359,109.382,36.4211,31.5254,70.5572,97.7043,85.9525,86.8079,88.8499,0.589578,0.167453,215.675,-327.863,30.5216,2.55191
